"DateTime";"Максимальная температура, С";"Средняя температура, С";"Минимальная температура, С"
2020-12-16 00:00:00;9;7.5;6
2020-12-17 00:00:00;6;4.5;3
2020-12-18 00:00:00;5;4;3
2020-12-19 00:00:00;4;3;2
2020-12-20 00:00:00;5;3.5;2
2020-12-21 00:00:00;5;4.5;4
2020-12-22 00:00:00;5;4.5;4
2020-12-23 00:00:00;4;1.5;-1
2020-12-24 00:00:00;-1;-2.5;-4
2020-12-25 00:00:00;1;-2.5;-6
2020-12-26 00:00:00;6;3;0
2020-12-27 00:00:00;8;4;0
2020-12-28 00:00:00;5;3;1
2020-12-29 00:00:00;6;5;4
2020-12-30 00:00:00;6;4.5;3
2020-12-31 00:00:00;6;4.5;3
2021-01-01 00:00:00;7;4;1
2021-01-02 00:00:00;6;3;0
2021-01-03 00:00:00;6;3.5;1
2021-01-04 00:00:00;6;5;4
2021-01-05 00:00:00;7;5;3
2021-01-06 00:00:00;6;4;2
2021-01-07 00:00:00;9;5.5;2
2021-01-08 00:00:00;8;4.5;1
2021-01-09 00:00:00;9;4.5;0
2021-01-10 00:00:00;9;5;1
2021-01-11 00:00:00;3;2.5;2
2021-01-12 00:00:00;6;4.5;3
2021-01-13 00:00:00;9;7.5;6
2021-01-14 00:00:00;9;6.5;4
2021-01-15 00:00:00;7;5;3
2021-01-16 00:00:00;4;3.5;3
2021-01-17 00:00:00;7;5.5;4
2021-01-18 00:00:00;4;2;0
2021-01-19 00:00:00;1;0;-1
2021-01-20 00:00:00;1;-0.5;-2
2021-01-21 00:00:00;0;-2.5;-5
2021-01-22 00:00:00;9;2;-5
2021-01-23 00:00:00;8;3.5;-1
2021-01-24 00:00:00;6;2.5;-1
2021-01-25 00:00:00;6;3;0
2021-01-26 00:00:00;7;4;1
2021-01-27 00:00:00;8;5;2
2021-01-28 00:00:00;7;4;1
2021-01-29 00:00:00;8;6;4
2021-01-30 00:00:00;6;5;4
2021-01-31 00:00:00;7;5;3
2021-02-01 00:00:00;9;5.5;2
2021-02-02 00:00:00;9;6.5;4
2021-02-03 00:00:00;10;6.5;3
2021-02-04 00:00:00;9;6.5;4
2021-02-05 00:00:00;10;6.5;3
2021-02-06 00:00:00;8;5;2
2021-02-07 00:00:00;5;2.5;0
2021-02-08 00:00:00;5;2.5;0
2021-02-09 00:00:00;9;7;5
2021-02-10 00:00:00;14;9;4
2021-02-11 00:00:00;11;7.5;4
2021-02-12 00:00:00;9;6.5;4
2021-02-13 00:00:00;8;4.5;1
2021-02-14 00:00:00;6;3.5;1
2021-02-15 00:00:00;3;1.5;0
2021-02-16 00:00:00;1;-0.5;-2
2021-02-17 00:00:00;-2;-4.5;-7
2021-02-18 00:00:00;-3;-5.5;-8
2021-02-19 00:00:00;1;-2;-5
2021-02-20 00:00:00;2;0;-2
2021-02-21 00:00:00;4;0.5;-3
2021-02-27 00:00:00;13;9;5
2021-02-28 00:00:00;10;7;4
2021-03-01 00:00:00;5;3.5;2
2021-03-02 00:00:00;8;4.5;1
2021-03-03 00:00:00;8;4;0
2021-03-04 00:00:00;8;4.5;1
2021-03-05 00:00:00;9;4;-1
2021-03-06 00:00:00;14;7.5;1
2021-03-07 00:00:00;9;5;1
2021-03-08 00:00:00;4;2.5;1
2021-03-09 00:00:00;7;4;1
2021-03-10 00:00:00;6;3.5;1
2021-03-11 00:00:00;1;0;-1
2021-03-12 00:00:00;-1;-1.5;-2
2021-03-13 00:00:00;2;-0.5;-3
2021-03-14 00:00:00;5;2.5;0
2021-03-15 00:00:00;7;5;3
2021-03-16 00:00:00;7;6;5
2021-03-17 00:00:00;12;8.5;5
2021-03-18 00:00:00;13;8.5;4
2021-03-19 00:00:00;13;9.5;6
2021-03-20 00:00:00;11;7.5;4
2021-03-21 00:00:00;7;5.5;4
2021-03-22 00:00:00;7;5;3
2021-03-23 00:00:00;12;9;6
2021-03-24 00:00:00;10;8;6
2021-03-25 00:00:00;11;8.5;6
2021-03-26 00:00:00;9;7;5
2021-03-27 00:00:00;12;9;6
2021-03-28 00:00:00;13;10;7
2021-03-29 00:00:00;11;8;5
2021-03-30 00:00:00;11;7.5;4
2021-03-31 00:00:00;10;8;6
2021-04-01 00:00:00;11;8;5
2021-04-02 00:00:00;16;11;6
2021-04-03 00:00:00;14;10.5;7
2021-04-04 00:00:00;15;11;7
2021-04-05 00:00:00;18;13;8
2021-04-06 00:00:00;14;11.5;9
2021-04-07 00:00:00;14;11;8
2021-04-08 00:00:00;18;13;8
2021-04-09 00:00:00;20;15;10
2021-04-10 00:00:00;12;10.5;9
2021-04-11 00:00:00;13;10.5;8
2021-04-12 00:00:00;15;12.5;10
2021-04-13 00:00:00;16;12.5;9
2021-04-14 00:00:00;15;12;9
2021-04-15 00:00:00;19;14.5;10
2021-04-16 00:00:00;18;14;10
2021-04-17 00:00:00;18;14.5;11
2021-04-18 00:00:00;18;15;12
2021-04-19 00:00:00;18;15;12
2021-04-20 00:00:00;19;16;13
2021-04-21 00:00:00;18;15.5;13
2021-04-22 00:00:00;15;14;13
2021-04-23 00:00:00;18;14.5;11
2021-04-24 00:00:00;16;13.5;11
2021-04-25 00:00:00;17;13.5;10
2021-04-26 00:00:00;15;13;11
2021-04-27 00:00:00;15;13;11
2021-04-28 00:00:00;17;13.5;10
2021-04-29 00:00:00;18;15;12
2021-04-30 00:00:00;17;15;13
2021-05-01 00:00:00;21;17.5;14
2021-05-02 00:00:00;21;18;15
2021-05-03 00:00:00;21;17.5;14
2021-05-04 00:00:00;24;18.5;13
2021-05-05 00:00:00;15;12.5;10
2021-05-06 00:00:00;16;12.5;9
2021-05-07 00:00:00;17;13.5;10
2021-05-08 00:00:00;18;14.5;11
2021-05-09 00:00:00;18;14;10
2021-05-10 00:00:00;16;12.5;9
2021-05-11 00:00:00;15;12;9
2021-05-12 00:00:00;16;12.5;9
2021-05-13 00:00:00;19;14.5;10
2021-05-14 00:00:00;23;19;15
2021-05-15 00:00:00;25;21;17
2021-05-16 00:00:00;25;21;17
2021-05-17 00:00:00;23;19.5;16
2021-05-18 00:00:00;25;21.5;18
2021-05-19 00:00:00;25;21;17
2021-05-20 00:00:00;22;19.5;17
2021-05-21 00:00:00;24;20.5;17
2021-05-22 00:00:00;28;22.5;17
2021-05-23 00:00:00;28;25;22
2021-05-24 00:00:00;28;25;22
2021-05-25 00:00:00;24;20.5;17
2021-05-26 00:00:00;20;18;16
2021-05-27 00:00:00;24;20;16
2021-05-28 00:00:00;24;20.5;17
2021-05-29 00:00:00;26;22.5;19
2021-05-30 00:00:00;26;22.5;19
2021-05-31 00:00:00;25;22;19
2021-06-01 00:00:00;25;21.5;18
2021-06-02 00:00:00;27;22.5;18
2021-06-03 00:00:00;23;21;19
2021-06-04 00:00:00;23;20.5;18
2021-06-05 00:00:00;24;21;18
2021-06-06 00:00:00;23;20.5;18
2021-06-07 00:00:00;23;20;17
2021-06-08 00:00:00;23;19.5;16
2021-06-09 00:00:00;24;20;16
2021-06-10 00:00:00;22;19.5;17
2021-06-11 00:00:00;24;21;18
2021-06-12 00:00:00;25;22;19
2021-06-13 00:00:00;26;23;20
2021-06-14 00:00:00;27;23.5;20
2021-06-15 00:00:00;26;23.5;21
2021-06-16 00:00:00;27;24;21
2021-06-17 00:00:00;31;26;21
2021-06-18 00:00:00;29;26;23
2021-06-19 00:00:00;28;24.5;21
2021-06-20 00:00:00;26;23.5;21
2021-06-21 00:00:00;26;23.5;21
2021-06-22 00:00:00;28;24.5;21
2021-06-23 00:00:00;29;25;21
2021-06-24 00:00:00;29;25;21
2021-06-25 00:00:00;30;25.5;21
2021-06-26 00:00:00;32;27.5;23
2021-06-27 00:00:00;32;28.5;25
2021-06-28 00:00:00;33;29.5;26
2021-06-29 00:00:00;31;28;25
2021-06-30 00:00:00;29;26.5;24
